"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15"
2,1,265,1,22,0,0,923,10.5,183,4,9,NA,262,1
2,0,269,1,30,0,0,166,13,1,4,NA,NA,275,0
2,0,270,1,29.8811345124283,0,0,785,21,1,4,NA,NA,344,0
2,0,273,2,21,0,0,323,11.5,1,4,NA,NA,263,0
2,0,288,2,29.8811345124283,0,0,179,0,1,4,NA,NA,24,0
2,1,305,2,8,1,1,764,36.75,1,4,9,NA,306,0
2,0,307,2,18,0,0,848,73.5,1,4,NA,NA,219,0
2,1,311,1,48,0,2,764,36.75,1,4,9,NA,306,0
2,1,312,1,28,0,0,170,13,1,4,6,NA,208,0
2,0,315,2,32,0,0,198,13,1,4,NA,NA,273,0
2,0,320,2,17,0,0,848,73.5,1,4,NA,NA,1,0
2,0,325,2,29,1,0,869,27.7208,1,2,NA,295,218,0
2,1,326,1,24,1,0,869,27.7208,1,2,5,NA,218,0
2,0,329,2,25,0,0,760,31.5,1,4,NA,NA,141,0
2,0,334,2,18,0,0,848,73.5,1,4,NA,NA,237,0
2,1,344,1,18,0,1,150,23,1,4,NA,NA,294,0
2,1,345,1,34,0,1,150,23,1,4,NA,NA,294,0
2,0,352,2,54,0,0,309,26,1,4,NA,NA,160,0
2,1,356,2,8,0,2,306,32.5,1,4,3,NA,137,0
2,0,357,2,42,1,1,306,32.5,1,4,NA,NA,137,0
2,1,358,1,34,1,1,306,32.5,1,4,3,NA,137,0
2,1,364,1,27,1,0,865,13.8583,1,2,5,NA,19,0
2,1,365,1,30,1,0,864,13.8583,1,2,5,NA,19,0
2,0,370,2,23,0,0,327,13,1,4,NA,NA,110,0
2,0,380,2,21,0,0,164,13,1,4,NA,NA,133,0
2,0,385,2,18,0,0,161,13,1,4,NA,NA,252,0
2,0,388,2,40,1,0,325,26,1,4,NA,286,112,0
2,1,389,1,29,1,0,325,26,1,4,12,NA,1,0
2,0,390,2,18,0,0,748,10.5,1,4,NA,NA,84,0
2,0,416,2,36,0,0,145,13,1,4,NA,236,277,0
